Cropping_situation;Crop;Asso_pure;Site;Year;Yields;N_fertilization_rate;Sowing_date;Sowing_density;PAWC;Soil_N_organic;Interrang;tot_rainfall;veg_rainfall;rep_rainfall;critical_rainfall;nb_days_60;nb_days_0;max_days_0
Sene_milt_2011_N9;Millet;pure;Senegal;2011;2.10481;180;230;1.23;191.250;0.03;1.3;384.9;378.4;6.5;46.2;1;57;18
Sene_milt_2012_N0;Millet;pure;Senegal;2012;1.43706;0;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N1;Millet;pure;Senegal;2012;1.74082;20;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N2;Millet;pure;Senegal;2012;2.01281;40;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N3;Millet;pure;Senegal;2012;2.1223;60;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N4;Millet;pure;Senegal;2012;2.12234;80;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N5;Millet;pure;Senegal;2012;2.12237;100;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N6;Millet;pure;Senegal;2012;2.12239;120;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N7;Millet;pure;Senegal;2012;2.12241;140;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N8;Millet;pure;Senegal;2012;2.12242;160;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2012_N9;Millet;pure;Senegal;2012;2.12243;180;230;1.23;191.250;0.03;1.3;237.2;237.2;0;54.6;1;48;24
Sene_milt_2013_N0;Millet;pure;Senegal;2013;1.20311;0;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N1;Millet;pure;Senegal;2013;1.43722;20;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N2;Millet;pure;Senegal;2013;1.67753;40;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N3;Millet;pure;Senegal;2013;1.91795;60;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N4;Millet;pure;Senegal;2013;2.11389;80;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N5;Millet;pure;Senegal;2013;2.11728;100;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
Sene_milt_2013_N6;Millet;pure;Senegal;2013;2.1174;120;230;1.23;191.250;0.03;1.3;429.8;423.2;6.6;65.3;1;45;9
